invoice_id,customer_id,invoice_date,due_date,invoice_amount,paid_amount,status
INV00001,CUST0058,2026-06-27,2026-07-12,74284.27,74284.27,PAID
INV00002,CUST0280,2026-07-05,2026-07-20,59254.0,59254.0,PAID
INV00003,CUST0259,2026-08-03,2026-08-18,3140.33,3140.33,PAID
INV00004,CUST0215,2026-07-15,2026-07-30,45196.3,45196.3,PAID
INV00005,CUST0217,2026-07-22,2026-08-06,30162.88,28148.2,PAID
INV00006,CUST0050,2026-07-18,2026-08-02,84825.69,84825.69,PAID
INV00007,CUST0275,2026-07-06,2026-07-21,97325.02,97325.02,PAID
INV00008,CUST0186,2026-08-05,2026-08-20,19632.71,19632.71,PAID
INV00009,CUST0041,2026-07-10,2026-07-25,86715.12,86715.12,PAID
INV00010,CUST0084,2026-07-19,2026-08-03,35849.43,35849.43,PAID
INV00011,CUST0037,2026-08-05,2026-08-20,63680.34,63680.34,PAID
INV00012,CUST0286,2026-07-15,2026-07-30,68619.12,68619.12,PAID
INV00013,CUST0206,2026-07-15,2026-07-30,7085.77,7085.77,PAID
INV00014,CUST0235,2026-07-06,2026-07-21,26855.58,26855.58,PAID
INV00015,CUST0300,2026-07-27,2026-08-11,89833.38,89833.38,PAID
INV00016,CUST0253,2026-07-05,2026-07-20,75700.32,75700.32,PAID
INV00017,CUST0217,2026-08-05,2026-08-20,6821.01,6821.01,PAID
INV00018,CUST0129,2026-08-05,2026-08-20,86147.58,86147.58,PAID
INV00019,CUST0275,2026-08-15,2026-08-30,27049.11,27049.11,PAID
INV00020,CUST0233,2026-06-27,2026-07-12,99333.51,95404.68,PAID
INV00021,CUST0153,2026-08-09,2026-08-24,51012.46,51012.46,PAID
INV00022,CUST0272,2026-06-29,2026-07-14,60094.99,60094.99,PAID
INV00023,CUST0123,2026-07-01,2026-07-16,24466.72,24466.72,PAID
INV00024,CUST0273,2026-08-18,2026-09-02,13013.17,13013.17,PAID
INV00025,CUST0271,2026-08-03,2026-08-18,42602.23,42602.23,PAID
INV00026,CUST0103,2026-08-11,2026-08-26,31515.77,31515.77,PAID
INV00027,CUST0062,2026-07-12,2026-07-27,22857.39,22857.39,PAID
INV00028,CUST0113,2026-07-01,2026-07-16,7563.81,7563.81,PAID
INV00029,CUST0037,2026-08-01,2026-08-16,24181.46,24181.46,PAID
INV00030,CUST0293,2026-08-05,2026-08-20,47530.77,47530.77,PAID
INV00031,CUST0050,2026-08-07,2026-08-22,43389.59,43389.59,PAID
INV00032,CUST0051,2026-07-04,2026-07-19,40560.82,40560.82,PAID
INV00033,CUST0099,2026-07-11,2026-07-26,53860.43,53860.43,PAID
INV00034,CUST0128,2026-07-01,2026-07-16,44591.51,44591.51,PAID
INV00035,CUST0048,2026-08-15,2026-08-30,84945.23,84945.23,PAID
INV00036,CUST0206,2026-07-02,2026-07-17,16881.39,16881.39,PAID
INV00037,CUST0217,2026-08-12,2026-08-27,95753.11,95753.11,PAID
INV00038,CUST0030,2026-08-07,2026-08-22,73705.85,73705.85,PAID
INV00039,CUST0300,2026-07-27,2026-08-11,50533.61,50533.61,PAID
INV00040,CUST0096,2026-07-01,2026-07-16,59705.99,59705.99,PAID
INV00041,CUST0297,2026-08-04,2026-08-19,4454.3,4454.3,PAID
INV00042,CUST0268,2026-07-19,2026-08-03,93503.27,93503.27,PAID
INV00043,CUST0136,2026-07-26,2026-08-10,13522.39,13522.39,PAID
INV00044,CUST0235,2026-08-08,2026-08-23,99846.22,99846.22,PAID
INV00045,CUST0136,2026-07-07,2026-07-22,93359.31,93359.31,PAID
INV00046,CUST0279,2026-08-11,2026-08-26,30600.46,30600.46,PAID
INV00047,CUST0054,2026-07-08,2026-07-23,26814.36,26814.36,PAID
INV00048,CUST0145,2026-08-03,2026-08-18,21457.65,21457.65,PAID
INV00049,CUST0259,2026-07-29,2026-08-13,25486.56,25486.56,PAID
INV00050,CUST0023,2026-06-29,2026-07-14,33688.88,33688.88,PAID
INV00051,CUST0227,2026-07-31,2026-08-15,70713.91,70713.91,PAID
INV00052,CUST0280,2026-07-03,2026-07-18,83542.2,83542.2,PAID
INV00053,CUST0187,2026-08-19,2026-09-03,97233.53,97233.53,PAID
INV00054,CUST0053,2026-07-22,2026-08-06,81994.22,78121.57,PAID
INV00055,CUST0091,2026-07-24,2026-08-08,2966.24,2966.24,PAID
INV00056,CUST0128,2026-07-18,2026-08-02,16340.19,16340.19,PAID
INV00057,CUST0114,2026-07-12,2026-07-27,81750.37,81750.37,PAID
INV00058,CUST0013,2026-08-12,2026-08-27,19716.41,19716.41,PAID
INV00059,CUST0180,2026-08-11,2026-08-26,51185.86,51185.86,PAID
INV00060,CUST0092,2026-08-03,2026-08-18,96272.16,96272.16,PAID
INV00061,CUST0177,2026-08-12,2026-08-27,78749.6,78749.6,PAID
INV00062,CUST0198,2026-08-06,2026-08-21,19412.84,19412.84,PAID
INV00063,CUST0276,2026-08-13,2026-08-28,72083.28,72083.28,PAID
INV00064,CUST0170,2026-08-07,2026-08-22,31734.61,31734.61,PAID
INV00065,CUST0159,2026-08-08,2026-08-23,41135.09,41135.09,PAID
INV00066,CUST0099,2026-07-26,2026-08-10,66660.48,66660.48,PAID
INV00067,CUST0292,2026-07-19,2026-08-03,40904.48,40904.48,PAID
INV00068,CUST0297,2026-08-03,2026-08-18,65643.21,65643.21,PAID
INV00069,CUST0262,2026-07-29,2026-08-13,79476.67,79476.67,PAID
INV00070,CUST0172,2026-07-05,2026-07-20,81933.13,81933.13,PAID
INV00071,CUST0076,2026-07-02,2026-07-17,5098.26,5098.26,PAID
INV00072,CUST0213,2026-08-09,2026-08-24,57779.25,57779.25,PAID
INV00073,CUST0003,2026-08-17,2026-09-01,86113.84,86113.84,PAID
INV00074,CUST0266,2026-07-30,2026-08-14,5496.73,5496.73,PAID
INV00075,CUST0069,2026-07-26,2026-08-10,71435.4,66923.98,PAID
INV00076,CUST0259,2026-07-23,2026-08-07,83141.63,83141.63,PAID
INV00077,CUST0127,2026-08-08,2026-08-23,28092.48,28092.48,PAID
INV00078,CUST0040,2026-08-11,2026-08-26,28929.95,28929.95,PAID
INV00079,CUST0071,2026-07-10,2026-07-25,23510.52,23510.52,PAID
