payment_id,transaction_id,invoice_id,payment_date,customer_id,amount,currency,payment_method,status
PAY00001,TXN00001,INV00001,2026-07-02,CUST0058,74284.27,INR,CARD,SUCCESS
PAY00002,TXN00002,INV00002,2026-07-06,CUST0280,59254.0,INR,UPI,SUCCESS
PAY00003,TXN00003,INV00003,2026-08-08,CUST0259,3140.33,INR,CARD,SUCCESS
PAY00004,TXN00004,INV00004,2026-07-15,CUST0215,45196.3,INR,NETBANKING,SUCCESS
PAY00005,TXN00005,INV00005,2026-07-22,CUST0217,28148.2,INR,CARD,SUCCESS
PAY00006,TXN00006,INV00006,2026-07-23,CUST0050,84825.69,INR,NETBANKING,SUCCESS
PAY00007,TXN00007,INV00007,2026-07-08,CUST0275,97325.02,INR,WALLET,SUCCESS
PAY00008,TXN00008,INV00008,2026-08-06,CUST0186,19632.71,INR,UPI,SUCCESS
PAY00009,TXN00009,INV00009,2026-07-15,CUST0041,86715.12,INR,WALLET,SUCCESS
PAY00010,TXN00010,INV00010,2026-07-24,CUST0084,35849.43,INR,NETBANKING,SUCCESS
PAY00011,TXN00011,INV00011,2026-08-08,CUST0037,63680.34,INR,CARD,SUCCESS
PAY00012,TXN00012,INV00012,2026-07-15,CUST0286,68619.12,INR,UPI,SUCCESS
PAY00013,TXN00013,INV00013,2026-07-18,CUST0206,7085.77,INR,NETBANKING,SUCCESS
PAY00014,TXN00014,INV00014,2026-07-10,CUST0235,26855.58,INR,CARD,SUCCESS
PAY00015,TXN00015,INV00015,2026-07-28,CUST0300,89833.38,INR,WALLET,SUCCESS
PAY00016,TXN00016,INV00016,2026-07-06,CUST0253,75700.32,INR,UPI,SUCCESS
PAY00017,TXN00017,INV00017,2026-08-08,CUST0217,6821.01,INR,WALLET,SUCCESS
PAY00018,TXN00018,INV00018,2026-08-05,CUST0129,86147.58,INR,UPI,SUCCESS
PAY00019,TXN00019,INV00019,2026-08-18,CUST0275,27049.11,INR,NETBANKING,SUCCESS
PAY00020,TXN00020,INV00020,2026-07-01,CUST0233,95404.68,INR,NETBANKING,SUCCESS
PAY00021,TXN00021,INV00021,2026-08-10,CUST0153,51012.46,INR,CARD,SUCCESS
PAY00022,TXN00022,INV00022,2026-07-01,CUST0272,60094.99,INR,WALLET,SUCCESS
PAY00023,TXN00023,INV00023,2026-07-04,CUST0123,24466.72,INR,UPI,SUCCESS
PAY00024,TXN00024,INV00024,2026-08-19,CUST0273,13013.17,INR,WALLET,SUCCESS
