payment_id,invoice_id,exception_type,is_exception,actual_exception,predicted_exception,issues
PAY00001,INV00001,NONE,False,False,False,NONE
PAY00002,INV00002,NONE,False,False,False,NONE
PAY00003,INV00003,NONE,False,False,False,NONE
PAY00004,INV00004,NONE,False,False,False,NONE
PAY00005,INV00005,INVOICE_MISMATCH,True,True,True,INVOICE_MISMATCH
PAY00006,INV00006,NONE,False,False,False,NONE
PAY00007,INV00007,NONE,False,False,False,NONE
PAY00008,INV00008,NONE,False,False,False,NONE
PAY00009,INV00009,NONE,False,False,False,NONE
PAY00010,INV00010,NONE,False,False,False,NONE
PAY00011,INV00011,NONE,False,False,False,NONE
PAY00012,INV00012,NONE,False,False,False,NONE
PAY00013,INV00013,NONE,False,False,False,NONE
PAY00014,INV00014,NONE,False,False,False,NONE
PAY00015,INV00015,NONE,False,False,False,NONE
PAY00016,INV00016,NONE,False,False,False,NONE
PAY00017,INV00017,NONE,False,False,False,NONE
PAY00018,INV00018,NONE,False,False,False,NONE
PAY00019,INV00019,NONE,False,False,False,NONE
PAY00020,INV00020,INVOICE_MISMATCH,True,True,True,INVOICE_MISMATCH
PAY00021,INV00021,NONE,False,False,False,NONE
PAY00022,INV00022,NONE,False,False,False,NONE
PAY00023,INV00023,NONE,False,False,False,NONE
PAY00024,INV00024,DUPLICATE_PAYMENT,True,True,True,DUPLICATE_PAYMENT
PAY00025,INV00025,MISSING_SETTLEMENT,True,True,True,MISSING_SETTLEMENT
PAY00026,INV00026,NONE,False,False,False,NONE
PAY00027,INV00027,NONE,False,False,False,NONE
PAY00028,INV00028,NONE,False,False,False,NONE
PAY00029,INV00029,NONE,False,False,False,NONE
PAY00030,INV00030,NONE,False,False,False,NONE
PAY00031,INV00031,NONE,False,False,False,NONE
PAY00032,INV00032,NONE,False,False,False,NONE
PAY00033,INV00033,NONE,False,False,False,NONE
PAY00034,INV00034,NONE,False,False,False,NONE
PAY00035,INV00035,NONE,False,False,False,NONE
