payment_id,transaction_id,invoice_id,payment_date,customer_id,amount,currency,payment_method,status_payment,settlement_id,settlement_date,settled_amount,fees,tax,status_settlement,customer_id_invoice,invoice_amount,paid_amount,status,issues,is_reconciled,reconciliation_status
PAY00001,TXN00001,INV00001,2026-07-02,CUST0058,74284.27,INR,CARD,SUCCESS,SET00001,2026-07-03,74284.27,1114.26,200.57,SETTLED,CUST0058,74284.27,74284.27,PAID,NONE,True,MATCHED
PAY00002,TXN00002,INV00002,2026-07-06,CUST0280,59254.0,INR,UPI,SUCCESS,SET00002,2026-07-07,59254.0,888.81,159.99,SETTLED,CUST0280,59254.0,59254.0,PAID,NONE,True,MATCHED
PAY00003,TXN00003,INV00003,2026-08-08,CUST0259,3140.33,INR,CARD,SUCCESS,SET00003,2026-08-11,3140.33,47.1,8.48,SETTLED,CUST0259,3140.33,3140.33,PAID,NONE,True,MATCHED
PAY00004,TXN00004,INV00004,2026-07-15,CUST0215,45196.3,INR,NETBANKING,SUCCESS,SET00004,2026-07-16,45196.3,677.94,122.03,SETTLED,CUST0215,45196.3,45196.3,PAID,NONE,True,MATCHED
PAY00005,TXN00005,INV00005,2026-07-22,CUST0217,28148.2,INR,CARD,SUCCESS,SET00005,2026-07-24,28148.2,422.22,76.0,SETTLED,CUST0217,30162.88,28148.2,PAID,INVOICE_MISMATCH,False,EXCEPTION
PAY00006,TXN00006,INV00006,2026-07-23,CUST0050,84825.69,INR,NETBANKING,SUCCESS,SET00006,2026-07-25,84825.69,1272.39,229.03,SETTLED,CUST0050,84825.69,84825.69,PAID,NONE,True,MATCHED
PAY00007,TXN00007,INV00007,2026-07-08,CUST0275,97325.02,INR,WALLET,SUCCESS,SET00007,2026-07-11,97325.02,1459.88,262.78,SETTLED,CUST0275,97325.02,97325.02,PAID,NONE,True,MATCHED
PAY00008,TXN00008,INV00008,2026-08-06,CUST0186,19632.71,INR,UPI,SUCCESS,SET00008,2026-08-08,19632.71,294.49,53.01,SETTLED,CUST0186,19632.71,19632.71,PAID,NONE,True,MATCHED
PAY00009,TXN00009,INV00009,2026-07-15,CUST0041,86715.12,INR,WALLET,SUCCESS,SET00009,2026-07-17,86715.12,1300.73,234.13,SETTLED,CUST0041,86715.12,86715.12,PAID,NONE,True,MATCHED
PAY00010,TXN00010,INV00010,2026-07-24,CUST0084,35849.43,INR,NETBANKING,SUCCESS,SET00010,2026-07-27,35849.43,537.74,96.79,SETTLED,CUST0084,35849.43,35849.43,PAID,NONE,True,MATCHED
PAY00011,TXN00011,INV00011,2026-08-08,CUST0037,63680.34,INR,CARD,SUCCESS,SET00011,2026-08-10,63680.34,955.21,171.94,SETTLED,CUST0037,63680.34,63680.34,PAID,NONE,True,MATCHED
PAY00012,TXN00012,INV00012,2026-07-15,CUST0286,68619.12,INR,UPI,SUCCESS,SET00012,2026-07-17,68619.12,1029.29,185.27,SETTLED,CUST0286,68619.12,68619.12,PAID,NONE,True,MATCHED
PAY00013,TXN00013,INV00013,2026-07-18,CUST0206,7085.77,INR,NETBANKING,SUCCESS,SET00013,2026-07-20,7085.77,106.29,19.13,SETTLED,CUST0206,7085.77,7085.77,PAID,NONE,True,MATCHED
PAY00014,TXN00014,INV00014,2026-07-10,CUST0235,26855.58,INR,CARD,SUCCESS,SET00014,2026-07-12,26855.58,402.83,72.51,SETTLED,CUST0235,26855.58,26855.58,PAID,NONE,True,MATCHED
PAY00015,TXN00015,INV00015,2026-07-28,CUST0300,89833.38,INR,WALLET,SUCCESS,SET00015,2026-07-31,89833.38,1347.5,242.55,SETTLED,CUST0300,89833.38,89833.38,PAID,NONE,True,MATCHED
PAY00016,TXN00016,INV00016,2026-07-06,CUST0253,75700.32,INR,UPI,SUCCESS,SET00016,2026-07-09,75700.32,1135.5,204.39,SETTLED,CUST0253,75700.32,75700.32,PAID,NONE,True,MATCHED
PAY00017,TXN00017,INV00017,2026-08-08,CUST0217,6821.01,INR,WALLET,SUCCESS,SET00017,2026-08-11,6821.01,102.32,18.42,SETTLED,CUST0217,6821.01,6821.01,PAID,NONE,True,MATCHED
PAY00018,TXN00018,INV00018,2026-08-05,CUST0129,86147.58,INR,UPI,SUCCESS,SET00018,2026-08-08,86147.58,1292.21,232.6,SETTLED,CUST0129,86147.58,86147.58,PAID,NONE,True,MATCHED
PAY00019,TXN00019,INV00019,2026-08-18,CUST0275,27049.11,INR,NETBANKING,SUCCESS,SET00019,2026-08-19,27049.11,405.74,73.03,SETTLED,CUST0275,27049.11,27049.11,PAID,NONE,True,MATCHED
PAY00020,TXN00020,INV00020,2026-07-01,CUST0233,95404.68,INR,NETBANKING,SUCCESS,SET00020,2026-07-02,95404.68,1431.07,257.59,SETTLED,CUST0233,99333.51,95404.68,PAID,INVOICE_MISMATCH,False,EXCEPTION
PAY00021,TXN00021,INV00021,2026-08-10,CUST0153,51012.46,INR,CARD,SUCCESS,SET00021,2026-08-13,51012.46,765.19,137.73,SETTLED,CUST0153,51012.46,51012.46,PAID,NONE,True,MATCHED
PAY00022,TXN00022,INV00022,2026-07-01,CUST0272,60094.99,INR,WALLET,SUCCESS,SET00022,2026-07-03,60094.99,901.42,162.26,SETTLED,CUST0272,60094.99,60094.99,PAID,NONE,True,MATCHED
PAY00023,TXN00023,INV00023,2026-07-04,CUST0123,24466.72,INR,UPI,SUCCESS,SET00023,2026-07-05,24466.72,367.0,66.06,SETTLED,CUST0123,24466.72,24466.72,PAID,NONE,True,MATCHED
PAY00024,TXN00024,INV00024,2026-08-19,CUST0273,13013.17,INR,WALLET,SUCCESS,SET00024,2026-08-21,13013.17,195.2,35.14,SETTLED,CUST0273,13013.17,13013.17,PAID,DUPLICATE_PAYMENT,False,EXCEPTION
PAY00024_DUP,TXN00024_DUP,INV00024,2026-08-19,CUST0273,13013.17,INR,WALLET,SUCCESS,,,,,,,CUST0273,13013.17,13013.17,PAID,MISSING_SETTLEMENT;DUPLICATE_PAYMENT,False,EXCEPTION
PAY00025,TXN00025,INV00025,2026-08-08,CUST0271,42602.23,INR,CARD,SUCCESS,,,,,,,CUST0271,42602.23,42602.23,PAID,MISSING_SETTLEMENT,False,EXCEPTION
PAY00026,TXN00026,INV00026,2026-08-15,CUST0103,31515.77,INR,NETBANKING,SUCCESS,SET00026,2026-08-17,31515.77,472.74,85.09,SETTLED,CUST0103,31515.77,31515.77,PAID,NONE,True,MATCHED
PAY00027,TXN00027,INV00027,2026-07-16,CUST0062,22857.39,INR,NETBANKING,SUCCESS,SET00027,2026-07-17,22857.39,342.86,61.71,SETTLED,CUST0062,22857.39,22857.39,PAID,NONE,True,MATCHED
PAY00028,TXN00028,INV00028,2026-07-01,CUST0113,7563.81,INR,UPI,SUCCESS,SET00028,2026-07-03,7563.81,113.46,20.42,SETTLED,CUST0113,7563.81,7563.81,PAID,NONE,True,MATCHED
PAY00029,TXN00029,INV00029,2026-08-02,CUST0037,24181.46,INR,WALLET,SUCCESS,SET00029,2026-08-05,24181.46,362.72,65.29,SETTLED,CUST0037,24181.46,24181.46,PAID,NONE,True,MATCHED
