exception_id,action,status,details,timestamp
EXC00001,VERIFY_SETTLEMENT,SANDBOX_EXECUTED,Settlement verification requested for payment PAY00005,2026-08-22T16:45:15
EXC00003,INVESTIGATE_DUPLICATE,SANDBOX_EXECUTED,Duplicate investigation requested for payment PAY00024,2026-08-22T16:45:15
EXC00003,INVESTIGATE_DUPLICATE,SANDBOX_EXECUTED,Duplicate investigation requested for payment PAY00024,2026-08-22T16:55:11
EXC00004,VERIFY_SETTLEMENT,SANDBOX_EXECUTED,Settlement verification requested for payment PAY00024_DUP,2026-08-22T17:50:11
EXC00005,VERIFY_SETTLEMENT,SANDBOX_EXECUTED,Settlement verification requested for payment PAY00025,2026-08-25T16:25:30
EXC00011,VERIFY_SETTLEMENT,SANDBOX_EXECUTED,Settlement verification requested for payment PAY00059_DUP,2026-08-25T17:23:20
EXC00011,VERIFY_SETTLEMENT,SANDBOX_EXECUTED,Settlement verification requested for payment PAY00059_DUP,2026-08-25T17:25:09
EXC00011,VERIFY_SETTLEMENT,SANDBOX_EXECUTED,Settlement verification requested for payment PAY00059_DUP,2026-08-25T17:25:11
EXC00011,VERIFY_SETTLEMENT,SANDBOX_EXECUTED,Settlement verification requested for payment PAY00059_DUP,2026-08-25T17:25:14
EXC00101,VERIFY_SETTLEMENT,SANDBOX_EXECUTED,Settlement verification requested for payment PAY00604,2026-08-26T18:21:22
EXC00011,VERIFY_SETTLEMENT,SANDBOX_EXECUTED,Settlement verification requested for payment PAY00059_DUP,2026-08-26T18:23:09
EXC00011,VERIFY_SETTLEMENT,SANDBOX_EXECUTED,Settlement verification requested for payment PAY00059_DUP,2026-08-26T18:23:21
EXC00031,INVESTIGATE_DUPLICATE,SANDBOX_EXECUTED,Duplicate investigation requested for payment PAY00168,2026-08-26T18:23:56
EXC00031,INVESTIGATE_DUPLICATE,SANDBOX_EXECUTED,Duplicate investigation requested for payment PAY00168,2026-08-26T18:23:58
EXC00010,INVESTIGATE_DUPLICATE,SANDBOX_EXECUTED,Duplicate investigation requested for payment PAY00059,2026-08-26T18:30:25
EXC00019,VERIFY_SETTLEMENT,SANDBOX_EXECUTED,Settlement verification requested for payment PAY00123,2026-08-26T18:30:37
EXC00039,INVESTIGATE_DUPLICATE,SANDBOX_EXECUTED,Duplicate investigation requested for payment PAY00221,2026-08-26T18:30:50
EXC00040,VERIFY_SETTLEMENT,SANDBOX_EXECUTED,Settlement verification requested for payment PAY00221_DUP,2026-08-26T18:44:44
EXC00055,VERIFY_SETTLEMENT,SANDBOX_EXECUTED,Settlement verification requested for payment PAY00311,2026-08-26T18:50:42
EXC00027,VERIFY_SETTLEMENT,SANDBOX_EXECUTED,Settlement verification requested for payment PAY00155,2026-08-31T19:53:25
EXC00001,VERIFY_SETTLEMENT,SANDBOX_EXECUTED,Settlement verification requested for payment PAY00005,2026-08-31T19:59:14
EXC00003,INVESTIGATE_DUPLICATE,SANDBOX_EXECUTED,Duplicate investigation requested for payment PAY00024,2026-08-31T19:59:14
EXC00011,VERIFY_SETTLEMENT,SANDBOX_EXECUTED,Settlement verification requested for payment PAY00059_DUP,2026-08-31T21:17:45
