settlement_id,payment_id,settlement_date,settled_amount,fees,tax,status
SET00001,PAY00001,2026-07-03,74284.27,1114.26,200.57,SETTLED
SET00002,PAY00002,2026-07-07,59254.0,888.81,159.99,SETTLED
SET00003,PAY00003,2026-08-11,3140.33,47.1,8.48,SETTLED
SET00004,PAY00004,2026-07-16,45196.3,677.94,122.03,SETTLED
SET00005,PAY00005,2026-07-24,28148.2,422.22,76.0,SETTLED
SET00006,PAY00006,2026-07-25,84825.69,1272.39,229.03,SETTLED
SET00007,PAY00007,2026-07-11,97325.02,1459.88,262.78,SETTLED
SET00008,PAY00008,2026-08-08,19632.71,294.49,53.01,SETTLED
SET00009,PAY00009,2026-07-17,86715.12,1300.73,234.13,SETTLED
SET00010,PAY00010,2026-07-27,35849.43,537.74,96.79,SETTLED
SET00011,PAY00011,2026-08-10,63680.34,955.21,171.94,SETTLED
SET00012,PAY00012,2026-07-17,68619.12,1029.29,185.27,SETTLED
SET00013,PAY00013,2026-07-20,7085.77,106.29,19.13,SETTLED
SET00014,PAY00014,2026-07-12,26855.58,402.83,72.51,SETTLED
SET00015,PAY00015,2026-07-31,89833.38,1347.5,242.55,SETTLED
SET00016,PAY00016,2026-07-09,75700.32,1135.5,204.39,SETTLED
SET00017,PAY00017,2026-08-11,6821.01,102.32,18.42,SETTLED
SET00018,PAY00018,2026-08-08,86147.58,1292.21,232.6,SETTLED
SET00019,PAY00019,2026-08-19,27049.11,405.74,73.03,SETTLED
SET00020,PAY00020,2026-07-02,95404.68,1431.07,257.59,SETTLED
SET00021,PAY00021,2026-08-13,51012.46,765.19,137.73,SETTLED
SET00022,PAY00022,2026-07-03,60094.99,901.42,162.26,SETTLED
SET00023,PAY00023,2026-07-05,24466.72,367.0,66.06,SETTLED
SET00024,PAY00024,2026-08-21,13013.17,195.2,35.14,SETTLED
SET00026,PAY00026,2026-08-17,31515.77,472.74,85.09,SETTLED
SET00027,PAY00027,2026-07-17,22857.39,342.86,61.71,SETTLED
SET00028,PAY00028,2026-07-03,7563.81,113.46,20.42,SETTLED
SET00029,PAY00029,2026-08-05,24181.46,362.72,65.29,SETTLED
SET00030,PAY00030,2026-08-07,47530.77,712.96,128.33,SETTLED
SET00031,PAY00031,2026-08-13,43389.59,650.84,117.15,SETTLED
SET00032,PAY00032,2026-07-05,40560.82,608.41,109.51,SETTLED
SET00033,PAY00033,2026-07-15,53860.43,807.91,145.42,SETTLED
SET00034,PAY00034,2026-07-06,44591.51,668.87,120.4,SETTLED
SET00035,PAY00035,2026-08-19,84945.23,1274.18,229.35,SETTLED
SET00036,PAY00036,2026-07-15,16881.39,253.22,45.58,SETTLED
SET00037,PAY00037,2026-08-15,95753.11,1436.3,258.53,SETTLED
SET00038,PAY00038,2026-08-08,73705.85,1105.59,199.01,SETTLED
SET00039,PAY00039,2026-08-01,50533.61,758.0,136.44,SETTLED
SET00040,PAY00040,2026-07-06,59705.99,895.59,161.21,SETTLED
SET00041,PAY00041,2026-08-11,4454.3,66.81,12.03,SETTLED
SET00042,PAY00042,2026-07-22,93503.27,1402.55,252.46,SETTLED
SET00043,PAY00043,2026-07-27,13522.39,202.84,36.51,SETTLED
SET00044,PAY00044,2026-08-12,99846.22,1497.69,269.58,SETTLED
SET00045,PAY00045,2026-07-11,92959.59,1400.39,252.07,SETTLED
SET00046,PAY00046,2026-08-17,30600.46,459.01,82.62,SETTLED
SET00047,PAY00047,2026-07-11,26814.36,402.22,72.4,SETTLED
SET00048,PAY00048,2026-08-10,21457.65,321.86,57.93,SETTLED
SET00049,PAY00049,2026-08-03,25486.56,382.3,68.81,SETTLED
SET00050,PAY00050,2026-07-02,33688.88,505.33,90.96,SETTLED
SET00051,PAY00051,2026-08-06,70713.91,1060.71,190.93,SETTLED
SET00052,PAY00052,2026-07-05,83542.2,1253.13,225.56,SETTLED
SET00053,PAY00053,2026-08-23,96659.42,1458.5,262.53,SETTLED
SET00054,PAY00054,2026-07-24,78121.57,1171.82,210.93,SETTLED
SET00055,PAY00055,2026-07-30,2966.24,44.49,8.01,SETTLED
SET00056,PAY00056,2026-07-20,16340.19,245.1,44.12,SETTLED
SET00057,PAY00057,2026-07-14,81750.37,1226.26,220.73,SETTLED
SET00058,PAY00058,2026-08-14,19716.41,295.75,53.23,SETTLED
SET00059,PAY00059,2026-08-13,51185.86,767.79,138.2,SETTLED
SET00060,PAY00060,2026-08-09,96272.16,1444.08,259.93,SETTLED
SET00061,PAY00061,2026-08-17,78749.6,1181.24,212.62,SETTLED
SET00062,PAY00062,2026-08-09,19412.84,291.19,52.41,SETTLED
SET00063,PAY00063,2026-08-16,72083.28,1081.25,194.62,SETTLED
SET00064,PAY00064,2026-08-12,31734.61,476.02,85.68,SETTLED
SET00065,PAY00065,2026-08-13,41135.09,617.03,111.07,SETTLED
SET00066,PAY00066,2026-07-30,66660.48,999.91,179.98,SETTLED
SET00067,PAY00067,2026-07-22,40904.48,613.57,110.44,SETTLED
SET00068,PAY00068,2026-08-09,65643.21,984.65,177.24,SETTLED
SET00069,PAY00069,2026-08-03,79476.67,1192.15,214.59,SETTLED
SET00070,PAY00070,2026-07-07,81933.13,1229.0,221.22,SETTLED
SET00071,PAY00071,2026-07-04,5098.26,76.47,13.76,SETTLED
SET00072,PAY00072,2026-08-11,57779.25,866.69,156.0,SETTLED
SET00073,PAY00073,2026-08-19,86113.84,1291.71,232.51,SETTLED
SET00075,PAY00075,2026-08-02,66923.98,1003.86,180.69,SETTLED
SET00076,PAY00076,2026-07-30,82186.5,1247.12,224.48,SETTLED
SET00077,PAY00077,2026-08-12,28092.48,421.39,75.85,SETTLED
SET00078,PAY00078,2026-08-16,28929.95,433.95,78.11,SETTLED
SET00079,PAY00079,2026-07-12,23510.52,352.66,63.48,SETTLED
SET00080,PAY00080,2026-07-24,54489.81,817.35,147.12,SETTLED
SET00081,PAY00081,2026-08-16,2443.43,36.65,6.6,SETTLED
SET00082,PAY00082,2026-07-29,54052.95,810.79,145.94,SETTLED
SET00083,PAY00083,2026-07-03,39191.29,587.87,105.82,SETTLED
SET00084,PAY00084,2026-07-03,90739.42,1361.09,245.0,SETTLED
SET00085,PAY00085,2026-07-14,5503.32,82.55,14.86,SETTLED
SET00086,PAY00086,2026-08-20,88024.18,1320.36,237.66,SETTLED
SET00087,PAY00087,2026-08-08,2428.64,36.43,6.56,SETTLED
SET00088,PAY00088,2026-08-21,3587.48,53.81,9.69,SETTLED
SET00089,PAY00089,2026-07-18,13058.99,195.88,35.26,SETTLED
SET00090,PAY00090,2026-08-21,37205.07,558.08,100.45,SETTLED
SET00091,PAY00091,2026-08-09,3055.0,45.82,8.25,SETTLED
SET00092,PAY00092,2026-07-08,59413.74,891.21,160.42,SETTLED
SET00093,PAY00093,2026-08-23,98392.51,1475.89,265.66,SETTLED
SET00094,PAY00094,2026-07-07,50843.1,762.65,137.28,SETTLED
SET00095,PAY00095,2026-07-29,96098.36,1441.48,259.47,SETTLED
SET00096,PAY00096,2026-08-14,27373.2,410.6,73.91,SETTLED
SET00097,PAY00097,2026-07-22,85245.46,1278.68,230.16,SETTLED
SET00098,PAY00098,2026-08-08,61228.0,918.42,165.32,SETTLED
SET00099,PAY00099,2026-08-04,21605.93,324.09,58.34,SETTLED
SET00100,PAY00100,2026-08-07,1510.04,22.65,4.08,SETTLED
SET00101,PAY00101,2026-08-07,75937.38,1139.06,205.03,SETTLED
SET00102,PAY00102,2026-07-09,29776.44,446.65,80.4,SETTLED
SET00103,PAY00103,2026-07-27,47589.42,713.84,128.49,SETTLED
SET00104,PAY00104,2026-07-24,70434.07,1056.51,190.17,SETTLED
SET00105,PAY00105,2026-07-23,12395.7,185.94,33.47,SETTLED
SET00106,PAY00106,2026-08-26,59163.9,887.46,159.74,SETTLED
SET00107,PAY00107,2026-07-15,30575.63,458.63,82.55,SETTLED
SET00108,PAY00108,2026-08-17,94436.92,1416.55,254.98,SETTLED
SET00109,PAY00109,2026-08-02,48132.06,721.98,129.96,SETTLED
SET00110,PAY00110,2026-07-11,82300.51,1234.51,222.21,SETTLED
SET00111,PAY00111,2026-07-11,15345.16,230.18,41.43,SETTLED
SET00112,PAY00112,2026-08-20,41909.32,628.64,113.16,SETTLED
SET00113,PAY00113,2026-07-21,86086.58,1291.3,232.43,SETTLED
SET00114,PAY00114,2026-08-19,21174.9,317.62,57.17,SETTLED
SET00115,PAY00115,2026-07-15,55423.23,831.35,149.64,SETTLED
SET00116,PAY00116,2026-07-21,3747.67,56.22,10.12,SETTLED
SET00117,PAY00117,2026-08-16,23725.67,355.89,64.06,SETTLED
SET00118,PAY00118,2026-07-29,11920.24,178.8,32.18,SETTLED
SET00119,PAY00119,2026-07-06,17009.32,255.14,45.93,SETTLED
SET00120,PAY00120,2026-07-11,47135.45,707.03,127.27,SETTLED
SET00121,PAY00121,2026-08-03,42809.95,660.86,118.95,SETTLED
SET00122,PAY00122,2026-07-13,23277.98,349.17,62.85,SETTLED
SET00124,PAY00124,2026-08-12,81517.37,1222.76,220.1,SETTLED
SET00125,PAY00125,2026-08-14,10907.69,163.62,29.45,SETTLED
SET00126,PAY00126,2026-08-14,94546.76,1418.2,255.28,SETTLED
SET00127,PAY00127,2026-07-11,95281.58,1455.5,261.99,SETTLED
SET00128,PAY00128,2026-07-30,5893.31,88.4,15.91,SETTLED
SET00129,PAY00129,2026-08-20,5635.37,84.53,15.22,SETTLED
SET00130,PAY00130,2026-07-11,3372.51,50.59,9.11,SETTLED
SET00131,PAY00131,2026-08-13,41095.07,616.43,110.96,SETTLED
SET00132,PAY00132,2026-08-03,93298.98,1399.48,251.91,SETTLED
SET00133,PAY00133,2026-08-03,24751.23,371.27,66.83,SETTLED
SET00134,PAY00134,2026-07-07,27986.62,419.8,75.56,SETTLED
SET00135,PAY00135,2026-07-22,71721.82,1091.13,196.4,SETTLED
SET00136,PAY00136,2026-08-06,76405.83,1146.09,206.3,SETTLED
SET00137,PAY00137,2026-08-08,38605.6,579.08,104.23,SETTLED
SET00138,PAY00138,2026-07-26,98847.19,1482.71,266.89,SETTLED
SET00139,PAY00139,2026-08-08,32434.16,503.0,90.54,SETTLED
SET00140,PAY00140,2026-07-02,71391.13,1085.75,195.44,SETTLED
SET00141,PAY00141,2026-07-25,62514.31,937.71,168.79,SETTLED
SET00142,PAY00142,2026-07-28,95206.89,1431.55,257.68,SETTLED
SET00143,PAY00143,2026-07-16,74803.25,1122.05,201.97,SETTLED
SET00144,PAY00144,2026-07-13,69553.12,1043.3,187.79,SETTLED
SET00145,PAY00145,2026-07-27,43353.34,650.3,117.05,SETTLED
SET00146,PAY00146,2026-07-13,17919.4,268.79,48.38,SETTLED
SET00147,PAY00147,2026-07-11,23602.75,354.04,63.73,SETTLED
SET00148,PAY00148,2026-07-22,67922.28,1018.83,183.39,SETTLED
SET00149,PAY00149,2026-08-11,96221.89,1443.33,259.8,SETTLED
SET00150,PAY00150,2026-08-02,11112.0,166.68,30.0,SETTLED
SET00151,PAY00151,2026-07-05,97805.48,1467.08,264.07,SETTLED
SET00152,PAY00152,2026-08-11,74644.63,1119.67,201.54,SETTLED
SET00153,PAY00153,2026-07-18,63843.48,957.65,172.38,SETTLED
SET00154,PAY00154,2026-08-11,10167.81,152.52,27.45,SETTLED
SET00156,PAY00156,2026-07-13,20479.08,307.19,55.29,SETTLED
SET00157,PAY00157,2026-08-01,96754.72,1451.32,261.24,SETTLED
SET00158,PAY00158,2026-07-08,12543.43,217.58,39.16,SETTLED
SET00159,PAY00159,2026-07-25,9485.14,142.28,25.61,SETTLED
SET00160,PAY00160,2026-07-26,67446.42,1011.7,182.11,SETTLED
SET00161,PAY00161,2026-08-15,23765.28,356.48,64.17,SETTLED
SET00163,PAY00163,2026-07-09,14407.81,216.12,38.9,SETTLED
SET00164,PAY00164,2026-07-19,88782.3,1331.73,239.71,SETTLED
SET00165,PAY00165,2026-07-28,57256.34,884.11,159.14,SETTLED
SET00166,PAY00166,2026-07-19,3755.27,56.33,10.14,SETTLED
SET00167,PAY00167,2026-07-09,98102.31,1471.53,264.88,SETTLED
SET00168,PAY00168,2026-07-27,27950.2,419.25,75.47,SETTLED
SET00169,PAY00169,2026-08-12,64129.55,961.94,173.15,SETTLED
SET00170,PAY00170,2026-08-21,56675.51,850.13,153.02,SETTLED
SET00171,PAY00171,2026-07-16,33191.68,497.88,89.62,SETTLED
SET00172,PAY00172,2026-07-13,98758.97,1481.38,266.65,SETTLED
SET00173,PAY00173,2026-07-10,1978.6,29.68,5.34,SETTLED
SET00174,PAY00174,2026-07-05,13112.48,196.69,35.4,SETTLED
SET00175,PAY00175,2026-08-01,77912.7,1168.69,210.36,SETTLED
SET00176,PAY00176,2026-08-17,78431.09,1176.47,211.76,SETTLED
SET00177,PAY00177,2026-07-27,42914.23,643.71,115.87,SETTLED
SET00178,PAY00178,2026-07-24,61025.59,915.38,164.77,SETTLED
SET00179,PAY00179,2026-08-19,71359.2,1070.39,192.67,SETTLED
SET00180,PAY00180,2026-08-11,41835.23,649.57,116.92,SETTLED
SET00181,PAY00181,2026-07-30,45429.71,681.45,122.66,SETTLED
SET00182,PAY00182,2026-08-18,9961.04,149.42,26.9,SETTLED
SET00183,PAY00183,2026-08-14,92337.01,1385.06,249.31,SETTLED
SET00184,PAY00184,2026-07-08,74586.6,1118.8,201.38,SETTLED
SET00185,PAY00185,2026-08-07,33299.78,499.5,89.91,SETTLED
SET00186,PAY00186,2026-07-20,60240.8,903.61,162.65,SETTLED
SET00187,PAY00187,2026-08-14,48477.84,727.17,130.89,SETTLED
SET00188,PAY00188,2026-08-21,28217.54,423.26,76.19,SETTLED
SET00189,PAY00189,2026-07-05,61094.99,916.42,164.96,SETTLED
SET00190,PAY00190,2026-07-25,34565.34,531.4,95.65,SETTLED
SET00191,PAY00191,2026-08-18,63500.62,952.51,171.45,SETTLED
SET00192,PAY00192,2026-07-29,45637.76,684.57,123.22,SETTLED
SET00193,PAY00193,2026-08-09,8953.23,134.3,24.17,SETTLED
SET00194,PAY00194,2026-07-20,44589.74,668.85,120.39,SETTLED
SET00195,PAY00195,2026-07-16,75616.84,1134.25,204.16,SETTLED
SET00196,PAY00196,2026-08-04,66879.69,1003.2,180.58,SETTLED
SET00197,PAY00197,2026-07-16,30491.23,457.37,82.33,SETTLED
SET00198,PAY00198,2026-07-11,1269.13,19.04,3.43,SETTLED
SET00199,PAY00199,2026-08-03,56092.99,841.39,151.45,SETTLED
SET00200,PAY00200,2026-07-04,45056.09,693.68,124.86,SETTLED
SET00201,PAY00201,2026-07-21,11959.75,179.4,32.29,SETTLED
SET00202,PAY00202,2026-07-08,43952.82,659.29,118.67,SETTLED
SET00203,PAY00203,2026-07-08,39878.79,598.18,107.67,SETTLED
SET00204,PAY00204,2026-07-07,51293.09,769.4,138.49,SETTLED
SET00205,PAY00205,2026-08-18,95843.22,1437.65,258.78,SETTLED
SET00206,PAY00206,2026-07-14,60438.7,906.58,163.18,SETTLED
SET00207,PAY00207,2026-08-21,56591.68,848.88,152.8,SETTLED
SET00208,PAY00208,2026-08-13,31955.82,479.34,86.28,SETTLED
SET00209,PAY00209,2026-08-22,27830.03,417.45,75.14,SETTLED
SET00210,PAY00210,2026-08-01,4241.92,63.63,11.45,SETTLED
SET00211,PAY00211,2026-08-12,59610.94,894.16,160.95,SETTLED
SET00212,PAY00212,2026-08-01,90950.47,1364.26,245.57,SETTLED
SET00213,PAY00213,2026-07-13,45327.05,679.91,122.38,SETTLED
SET00214,PAY00214,2026-07-17,70908.36,1063.63,191.45,SETTLED
SET00215,PAY00215,2026-07-27,91834.71,1377.52,247.95,SETTLED
SET00216,PAY00216,2026-08-23,63273.21,949.1,170.84,SETTLED
SET00217,PAY00217,2026-07-22,25573.58,383.6,69.05,SETTLED
SET00218,PAY00218,2026-07-24,31368.06,470.52,84.69,SETTLED
SET00219,PAY00219,2026-08-08,37979.59,569.69,102.54,SETTLED
SET00220,PAY00220,2026-07-08,64779.47,971.69,174.9,SETTLED
SET00221,PAY00221,2026-07-13,95141.35,1427.12,256.88,SETTLED
SET00222,PAY00222,2026-07-12,15917.04,238.76,42.98,SETTLED
SET00223,PAY00223,2026-08-18,88426.38,1326.4,238.75,SETTLED
SET00224,PAY00224,2026-07-12,16643.6,249.65,44.94,SETTLED
SET00225,PAY00225,2026-08-15,72098.77,1081.48,194.67,SETTLED
SET00227,PAY00227,2026-08-01,46437.16,696.56,125.38,SETTLED
SET00228,PAY00228,2026-07-14,80767.56,1226.71,220.81,SETTLED
SET00229,PAY00229,2026-08-07,93462.21,1401.93,252.35,SETTLED
SET00230,PAY00230,2026-08-04,15161.19,227.42,40.94,SETTLED
SET00231,PAY00231,2026-07-04,41782.24,626.73,112.81,SETTLED
SET00232,PAY00232,2026-07-27,22841.61,342.62,61.67,SETTLED
SET00233,PAY00233,2026-08-23,15031.91,225.48,40.59,SETTLED
SET00234,PAY00234,2026-08-19,70700.85,1060.51,190.89,SETTLED
SET00235,PAY00235,2026-07-15,83578.83,1253.68,225.66,SETTLED
SET00236,PAY00236,2026-07-10,5251.07,78.77,14.18,SETTLED
SET00237,PAY00237,2026-07-11,83750.43,1256.26,226.13,SETTLED
SET00238,PAY00238,2026-08-09,24572.84,368.59,66.35,SETTLED
SET00239,PAY00239,2026-07-19,57281.04,859.22,154.66,SETTLED
SET00240,PAY00240,2026-07-06,95363.67,1430.46,257.48,SETTLED
SET00241,PAY00241,2026-07-26,25738.2,386.07,69.49,SETTLED
SET00242,PAY00242,2026-08-18,65881.89,988.23,177.88,SETTLED
SET00243,PAY00243,2026-07-06,35553.76,533.31,96.0,SETTLED
SET00244,PAY00244,2026-08-17,48113.85,721.71,129.91,SETTLED
SET00245,PAY00245,2026-07-05,29697.54,445.46,80.18,SETTLED
SET00246,PAY00246,2026-08-03,40123.29,601.85,108.33,SETTLED
SET00247,PAY00247,2026-07-25,85946.28,1294.24,232.96,SETTLED
SET00248,PAY00248,2026-07-30,87053.84,1335.06,240.31,SETTLED
SET00249,PAY00249,2026-08-16,50003.58,750.05,135.01,SETTLED
SET00250,PAY00250,2026-07-29,60444.1,906.66,163.2,SETTLED
SET00251,PAY00251,2026-07-23,66261.46,993.92,178.91,SETTLED
SET00252,PAY00252,2026-08-17,44668.88,670.03,120.61,SETTLED
SET00253,PAY00253,2026-07-20,64127.2,961.91,173.14,SETTLED
SET00254,PAY00254,2026-08-05,80209.05,1203.14,216.57,SETTLED
SET00255,PAY00255,2026-07-05,13059.89,195.9,35.26,SETTLED
SET00256,PAY00256,2026-08-08,3722.34,55.84,10.05,SETTLED
SET00257,PAY00257,2026-08-20,8150.1,122.25,22.0,SETTLED
SET00258,PAY00258,2026-07-19,96071.75,1441.08,259.39,SETTLED
SET00259,PAY00259,2026-08-08,12217.22,183.26,32.99,SETTLED
SET00260,PAY00260,2026-08-15,91689.65,1375.34,247.56,SETTLED
SET00261,PAY00261,2026-07-24,89918.56,1348.78,242.78,SETTLED
SET00262,PAY00262,2026-08-08,52584.13,816.69,147.0,SETTLED
SET00263,PAY00263,2026-08-21,36468.47,547.03,98.47,SETTLED
SET00264,PAY00264,2026-08-22,49655.18,744.83,134.07,SETTLED
SET00265,PAY00265,2026-07-12,61388.86,920.83,165.75,SETTLED
SET00266,PAY00266,2026-08-04,41374.11,620.61,111.71,SETTLED
SET00267,PAY00267,2026-08-12,7879.42,118.19,21.27,SETTLED
SET00268,PAY00268,2026-08-11,58984.71,884.77,159.26,SETTLED
SET00269,PAY00269,2026-07-11,30760.39,461.41,83.05,SETTLED
SET00270,PAY00270,2026-08-06,89545.13,1343.18,241.77,SETTLED
SET00271,PAY00271,2026-07-12,62689.72,940.35,169.26,SETTLED
SET00272,PAY00272,2026-07-11,17534.46,263.02,47.34,SETTLED
SET00273,PAY00273,2026-07-08,5023.45,75.35,13.56,SETTLED
SET00274,PAY00274,2026-08-03,88955.19,1334.33,240.18,SETTLED
SET00275,PAY00275,2026-08-14,40906.21,613.59,110.45,SETTLED
SET00276,PAY00276,2026-07-29,48682.99,730.24,131.44,SETTLED
SET00277,PAY00277,2026-08-19,98808.33,1482.12,266.78,SETTLED
SET00278,PAY00278,2026-07-08,32252.03,483.78,87.08,SETTLED
SET00279,PAY00279,2026-07-08,3606.13,83.03,14.95,SETTLED
SET00280,PAY00280,2026-07-23,93408.28,1401.12,252.2,SETTLED
SET00281,PAY00281,2026-08-01,50126.59,751.9,135.34,SETTLED
SET00282,PAY00282,2026-07-31,96685.32,1450.28,261.05,SETTLED
SET00283,PAY00283,2026-08-02,59953.12,899.3,161.87,SETTLED
SET00284,PAY00284,2026-07-10,88304.35,1324.57,238.42,SETTLED
SET00285,PAY00285,2026-07-05,57243.02,858.65,154.56,SETTLED
SET00286,PAY00286,2026-08-05,45310.26,679.65,122.34,SETTLED
SET00287,PAY00287,2026-07-12,97520.74,1462.81,263.31,SETTLED
SET00288,PAY00288,2026-08-19,14854.6,222.82,40.11,SETTLED
SET00289,PAY00289,2026-08-18,33637.55,504.56,90.82,SETTLED
SET00290,PAY00290,2026-07-12,33132.6,496.99,89.46,SETTLED
SET00291,PAY00291,2026-08-09,33969.16,509.54,91.72,SETTLED
SET00292,PAY00292,2026-07-27,33458.34,501.88,90.34,SETTLED
SET00293,PAY00293,2026-08-10,47721.73,715.83,128.85,SETTLED
SET00294,PAY00294,2026-08-04,63088.01,946.32,170.34,SETTLED
SET00295,PAY00295,2026-08-08,94846.41,1422.7,256.09,SETTLED
SET00296,PAY00296,2026-07-12,41589.53,623.84,112.29,SETTLED
SET00297,PAY00297,2026-08-17,14239.21,213.59,38.45,SETTLED
SET00298,PAY00298,2026-07-27,31718.38,475.78,85.64,SETTLED
SET00299,PAY00299,2026-07-24,67748.92,1016.23,182.92,SETTLED
SET00300,PAY00300,2026-08-06,30200.67,453.01,81.54,SETTLED
SET00301,PAY00301,2026-07-24,48240.44,723.61,130.25,SETTLED
SET00302,PAY00302,2026-07-27,89628.17,1344.42,242.0,SETTLED
SET00303,PAY00303,2026-07-22,95553.71,1433.31,258.0,SETTLED
SET00304,PAY00304,2026-08-20,48168.39,722.53,130.06,SETTLED
SET00305,PAY00305,2026-07-12,11368.04,170.52,30.69,SETTLED
SET00306,PAY00306,2026-08-12,23667.24,355.01,63.9,SETTLED
SET00307,PAY00307,2026-08-15,77191.22,1157.87,208.42,SETTLED
SET00308,PAY00308,2026-08-01,65228.6,978.43,176.12,SETTLED
SET00310,PAY00310,2026-07-06,99718.59,1495.78,269.24,SETTLED
SET00312,PAY00312,2026-08-14,53569.16,818.38,147.31,SETTLED
SET00313,PAY00313,2026-07-09,33403.07,501.05,90.19,SETTLED
SET00314,PAY00314,2026-08-18,34042.66,510.64,91.92,SETTLED
SET00315,PAY00315,2026-07-29,51770.43,776.56,139.78,SETTLED
SET00316,PAY00316,2026-08-01,32698.37,490.48,88.29,SETTLED
SET00317,PAY00317,2026-08-21,27065.94,405.99,73.08,SETTLED
SET00318,PAY00318,2026-07-19,65541.5,983.12,176.96,SETTLED
SET00319,PAY00319,2026-07-13,40838.95,612.58,110.26,SETTLED
SET00320,PAY00320,2026-08-12,22474.5,337.12,60.68,SETTLED
SET00321,PAY00321,2026-07-28,70343.1,1055.15,189.93,SETTLED
SET00322,PAY00322,2026-08-16,75596.59,1133.95,204.11,SETTLED
SET00323,PAY00323,2026-07-08,91765.85,1376.49,247.77,SETTLED
SET00324,PAY00324,2026-08-08,53897.69,808.47,145.52,SETTLED
SET00325,PAY00325,2026-08-15,20937.45,314.06,56.53,SETTLED
SET00326,PAY00326,2026-08-02,13628.46,204.43,36.8,SETTLED
SET00327,PAY00327,2026-08-16,80788.08,1211.82,218.13,SETTLED
SET00328,PAY00328,2026-08-10,7766.44,116.5,20.97,SETTLED
SET00329,PAY00329,2026-07-06,98620.66,1479.31,266.28,SETTLED
SET00330,PAY00330,2026-08-21,64331.74,964.98,173.7,SETTLED
SET00331,PAY00331,2026-07-26,8484.87,127.27,22.91,SETTLED
SET00332,PAY00332,2026-08-05,39609.33,594.14,106.95,SETTLED
SET00333,PAY00333,2026-07-21,46568.89,698.53,125.74,SETTLED
SET00334,PAY00334,2026-07-24,15934.58,239.02,43.02,SETTLED
SET00335,PAY00335,2026-08-13,42214.44,633.22,113.98,SETTLED
SET00336,PAY00336,2026-07-31,59979.6,899.69,161.94,SETTLED
SET00337,PAY00337,2026-07-16,54206.1,813.09,146.36,SETTLED
SET00338,PAY00338,2026-07-24,57958.74,869.38,156.49,SETTLED
SET00339,PAY00339,2026-07-18,41649.24,624.74,112.45,SETTLED
SET00340,PAY00340,2026-08-13,68035.64,1020.53,183.7,SETTLED
SET00341,PAY00341,2026-08-22,52684.07,790.26,142.25,SETTLED
SET00342,PAY00342,2026-08-21,54023.86,810.36,145.86,SETTLED
SET00343,PAY00343,2026-08-01,91516.75,1372.75,247.09,SETTLED
SET00345,PAY00345,2026-08-19,83025.93,1245.39,224.17,SETTLED
SET00346,PAY00346,2026-07-07,19222.25,288.33,51.9,SETTLED
SET00347,PAY00347,2026-07-15,93747.4,1406.21,253.12,SETTLED
SET00348,PAY00348,2026-07-28,91555.08,1373.33,247.2,SETTLED
