payment_id,invoice_id,exception_type,is_exception
PAY00001,INV00001,NONE,False
PAY00002,INV00002,NONE,False
PAY00003,INV00003,NONE,False
PAY00004,INV00004,NONE,False
PAY00005,INV00005,INVOICE_MISMATCH,True
PAY00006,INV00006,NONE,False
PAY00007,INV00007,NONE,False
PAY00008,INV00008,NONE,False
PAY00009,INV00009,NONE,False
PAY00010,INV00010,NONE,False
PAY00011,INV00011,NONE,False
PAY00012,INV00012,NONE,False
PAY00013,INV00013,NONE,False
PAY00014,INV00014,NONE,False
PAY00015,INV00015,NONE,False
PAY00016,INV00016,NONE,False
PAY00017,INV00017,NONE,False
PAY00018,INV00018,NONE,False
PAY00019,INV00019,NONE,False
PAY00020,INV00020,INVOICE_MISMATCH,True
PAY00021,INV00021,NONE,False
PAY00022,INV00022,NONE,False
PAY00023,INV00023,NONE,False
PAY00024,INV00024,DUPLICATE_PAYMENT,True
PAY00025,INV00025,MISSING_SETTLEMENT,True
PAY00026,INV00026,NONE,False
PAY00027,INV00027,NONE,False
PAY00028,INV00028,NONE,False
PAY00029,INV00029,NONE,False
PAY00030,INV00030,NONE,False
PAY00031,INV00031,NONE,False
PAY00032,INV00032,NONE,False
PAY00033,INV00033,NONE,False
PAY00034,INV00034,NONE,False
PAY00035,INV00035,NONE,False
PAY00036,INV00036,DELAYED_SETTLEMENT,True
PAY00037,INV00037,NONE,False
PAY00038,INV00038,NONE,False
PAY00039,INV00039,NONE,False
PAY00040,INV00040,NONE,False
PAY00041,INV00041,NONE,False
PAY00042,INV00042,NONE,False
PAY00043,INV00043,NONE,False
PAY00044,INV00044,NONE,False
PAY00045,INV00045,AMOUNT_MISMATCH,True
PAY00046,INV00046,NONE,False
PAY00047,INV00047,NONE,False
PAY00048,INV00048,NONE,False
PAY00049,INV00049,NONE,False
PAY00050,INV00050,NONE,False
PAY00051,INV00051,NONE,False
PAY00052,INV00052,NONE,False
PAY00053,INV00053,AMOUNT_MISMATCH,True
PAY00054,INV00054,INVOICE_MISMATCH,True
PAY00055,INV00055,NONE,False
PAY00056,INV00056,NONE,False
PAY00057,INV00057,NONE,False
PAY00058,INV00058,NONE,False
PAY00059,INV00059,DUPLICATE_PAYMENT,True
PAY00060,INV00060,NONE,False
PAY00061,INV00061,NONE,False
PAY00062,INV00062,NONE,False
PAY00063,INV00063,NONE,False
PAY00064,INV00064,NONE,False
PAY00065,INV00065,NONE,False
PAY00066,INV00066,NONE,False
PAY00067,INV00067,NONE,False
PAY00068,INV00068,NONE,False
PAY00069,INV00069,NONE,False
PAY00070,INV00070,NONE,False
PAY00071,INV00071,NONE,False
PAY00072,INV00072,NONE,False
PAY00073,INV00073,NONE,False
PAY00074,INV00074,MISSING_SETTLEMENT,True
PAY00075,INV00075,INVOICE_MISMATCH,True
PAY00076,INV00076,AMOUNT_MISMATCH,True
PAY00077,INV00077,NONE,False
PAY00078,INV00078,NONE,False
PAY00079,INV00079,NONE,False
PAY00080,INV00080,NONE,False
PAY00081,INV00081,NONE,False
PAY00082,INV00082,NONE,False
PAY00083,INV00083,NONE,False
PAY00084,INV00084,NONE,False
PAY00085,INV00085,NONE,False
PAY00086,INV00086,NONE,False
PAY00087,INV00087,DELAYED_SETTLEMENT,True
PAY00088,INV00088,NONE,False
PAY00089,INV00089,NONE,False
PAY00090,INV00090,NONE,False
PAY00091,INV00091,NONE,False
PAY00092,INV00092,NONE,False
PAY00093,INV00093,NONE,False
PAY00094,INV00094,NONE,False
PAY00095,INV00095,NONE,False
PAY00096,INV00096,NONE,False
PAY00097,INV00097,NONE,False
PAY00098,INV00098,NONE,False
PAY00099,INV00099,NONE,False
PAY00100,INV00100,NONE,False
PAY00101,INV00101,NONE,False
PAY00102,INV00102,NONE,False
PAY00103,INV00103,NONE,False
PAY00104,INV00104,NONE,False
PAY00105,INV00105,NONE,False
PAY00106,INV00106,DELAYED_SETTLEMENT,True
PAY00107,INV00107,NONE,False
PAY00108,INV00108,NONE,False
PAY00109,INV00109,NONE,False
PAY00110,INV00110,NONE,False
PAY00111,INV00111,NONE,False
PAY00112,INV00112,NONE,False
PAY00113,INV00113,NONE,False
PAY00114,INV00114,NONE,False
PAY00115,INV00115,NONE,False
PAY00116,INV00116,NONE,False
PAY00117,INV00117,NONE,False
PAY00118,INV00118,NONE,False
PAY00119,INV00119,NONE,False
PAY00120,INV00120,NONE,False
PAY00121,INV00121,AMOUNT_MISMATCH,True
PAY00122,INV00122,DELAYED_SETTLEMENT,True
PAY00123,INV00123,MISSING_SETTLEMENT,True
PAY00124,INV00124,NONE,False
PAY00125,INV00125,NONE,False
PAY00126,INV00126,NONE,False
PAY00127,INV00127,AMOUNT_MISMATCH,True
PAY00128,INV00128,NONE,False
PAY00129,INV00129,NONE,False
PAY00130,INV00130,NONE,False
PAY00131,INV00131,DELAYED_SETTLEMENT,True
PAY00132,INV00132,NONE,False
PAY00133,INV00133,NONE,False
PAY00134,INV00134,NONE,False
PAY00135,INV00135,AMOUNT_MISMATCH,True
PAY00136,INV00136,NONE,False
PAY00137,INV00137,NONE,False
PAY00138,INV00138,NONE,False
PAY00139,INV00139,AMOUNT_MISMATCH,True
PAY00140,INV00140,AMOUNT_MISMATCH,True
PAY00141,INV00141,NONE,False
PAY00142,INV00142,AMOUNT_MISMATCH,True
PAY00143,INV00143,INVOICE_MISMATCH,True
PAY00144,INV00144,NONE,False
